BIENES DE CAPITAL,33161;;;;;
"CAPITULO 85  MAQUINAS, APARATOS Y MATERIAL ELECTRICO Y SUS PARTES; APARATOS DE GRABACION O DE REPRODUCCION  DEL SONIDO, APARATOS DE GRABACION O DE REPRODUCCION DE IMAGENES Y DE SONIDOS DE TELEVISION, Y LAS PARTES Y ACCESORIOS DE ESTOSAPARATOS.,26045";;;;;
CAPITULO 87 VEHICULOS AUTOMOVILES, TRACTORES, CICLOS Y DEMAS  VEHICULOS TERRESTRES, SUS PARTES Y ACCESORIOS,16412;;;;;
CAPITULO 39 MATERIAS PLASTICAS Y MANUFACTURAS DE ESTAS  MATERIAS,13034;;;;;
"CAPITULO 90  INSTRUMENTOS Y APARATOS DE OPTICA, DEFOTOGRAFIA O DE CINEMATOGRAFIA, DE MEDIDA, DE  CONTROL O DE PRECISION; INSTRUMENTOS Y APARATOS MEDICOQUIRURGICOS; PARTES Y ACCESORIOS DE ESTOSINSTRUMENTOS O APARATOS,10221";;;;;
CAPITULO 73 MANUFACTURAS DE FUNDICION, DE HIERRO O DE  ACERO.,9130;;;;;
CAPITULO 61  PRENDAS Y COMPLEMENTOS (ACCESORIOS) DE VESTIR, DE PUNTO,6937;;;;;
"CALDERAS, MAQUINAS, APARATOS Y ARTEFACTOS MECANICOS; PARTES DE ESTAS MAQUINAS O APARATOS, REACTORES NUCLEARES,6212";;;;;
CAPITULO 40CAUCHO Y MANUFACTURAS DE CAUCHO.,6148;;;;;
CAPITULO 62  PRENDAS Y COMPLEMENTOS (ACCESORIOS) DE VESTIR,  EXCEPTO LOS DE PUNTO,5870;;;;;
"CAPITULO 95JUGUETES, JUEGOS Y ARTICULOS PARA RECREO O PARA DEPORTE; SUS PARTES Y ACCESORIOS,5689";;;;;
"CAPITULO 82  HERRAMIENTAS Y UTLES, ARTICULOS DE CUCHILLERIAY CUBIERTOS DE MESA, DE METALES COMUNES; PARTESDE ESTOS ARTICULOS, DE METALES COMUNES,5586";;;;;
CAPITULO 38PRODUCTOS DIVERSOS DE LA INDUSTRIA QUIMICA,5504;;;;;
"CAPITULO 33ACEITES ESENCIALES Y RESINOIDES; PEPARACIONES DE  PERFUMERIA, DE TOCADOR O DE COSMETICA,5483";;;;;
"CAPITULO 94MUEBLES; MOBILIARIO MEDICOQUIRURGICO; ARTICULOS  DE CAMA Y SIMILARES; APARATOS DE ALUMBRADO NO EXPRESADOS NI COMPRENDIDOS EN OTRA PARTE;  ANUNCIOS LUMINOSOS, LETREROS LUMINOSOS, PLACASINDICADORAS LUMINOSAS Y ARTICULOS SIMILARES; CONSTRUCCIONES PREFABRICADAS,5405";;;;;
CAPITULO 30PRODUCTOS FARMACEUTICOS,4289;;;;;
"CAPITULO 48 PAPEL Y CARTON; MANUFACTURAS DE PASTA DECELULOSA, DE PAPEL O DE CARTON,4147";;;;;
CAPITULO 96 MANUFACTURAS DIVERSAS,3986;;;;;
CAPITULO 83 MANUFACTURAS DIVERSAS DE METALES COMUNES.,3472;;;;;
CAPITULO 32 EXTRACTOS CURTIENTES O TINTOREOS; TANINOS Y SUSDERIVADOS; PIGMENTOS Y DEMAS MATERIAS COLORANTES;  PINTURAS Y BARNICES; MASTIQUES; TINTAS,3308
"CAPITULO 19 PREPARACIONES A BASE DE CEREALES, DE HARINA, DE ALMIDON, DE FECULA O DE LECHE; PRODUCTOS DEPASTELERIA,2944";;;;;
"CAPITULO 27 COMBUSTIBLES MINERALES, ACEITES MINERALES  Y PRODUCTOS DE SU DESTILACION; MATERIAS BITUMINOSAS; CERAS MINERALES.,2630";;;;;
CAPITULO 70VIDRIO Y MANUFACTURAS DE VIDRIO,2617;;;;;
CAPITULO 21PREPARACIONES ALIMENTICIAS DIVERSAS,2610;;;;;
"CAPITULO 42 MANUFACTURAS DE CUERO; ARTICULOS  DE GUARNICIONERIA O DE TALABARTERIA;ARTICULOS DE VIAJE, BOLSOS DE MANO (CARTERAS)  Y CONTINENTES SIMILARES; MANUFACTURAS DE TRIPA,2598";;;;;
CAPITULO 69 PRODUCTOS CERAMICOS,2429;;;;;
CAPITULO 68  MANUFACTURAS DE PIEDRA, YESO, CEMENTO, AMIANTO,  MICA O MATERIAS ANALOGAS.,2311;;;;;
CAPITULO 44 MADERA, CARBON VEGETAL Y MANUFACTURAS DE MADERA,2256;;;;;
CAPITULO 34 JABONES, AGENTES DE SUPERFICIE ORGANICOS,  PREPARACIONES PARA LAVAR, PREPARACIONESLUBRICANTES, CERAS ARTIFICIALES, CERAS PREPARADAS,PRODUCTOS DE LIMPIEZA, VELAS Y ARTICULOS SIMILARES, PASTAS PARA MODELAR, CERAS PARA ODONTOLOGIA Y PREPARACIONES PARA USO EN  ODONTOLOGIA A BASE DE YESO FRAGUABLE.,2254;;;;;
"CAPITULO 64 CALZADO, POLAINAS, Y ARTICULOS ANALOGOS;  PARTES DE ESTOS ARTICULOS.,2130";;;;;
CAPITULO 76 En este Capitulo se entiende pora.)Barras  b.)Perfiles  c)Alambre  d.) Chapas, hojas y tiras  e.)tubos,2012;;;;;
CAPITULO 63LOS DEMAS ARTICULOS TEXTILES CONFECCIONADOS; JUEGOS O SURTIDOS;PRENDERIA Y TRAPOS,1787;;;
CAPITULO 31  ABONOS,1756;;;;;
CAPITULO 22BEBIDAS, LIQUIDOS ALCOHOLICOS Y VINAGRE,1744;;;;;
Capitulos 72 METALES COMUNES Y MANUFACTURAS DE ESTOS METALES.,1688;;;;;
CAPITULO 10  CEREALES,1673;;;;;
CAPITULO 20PREPARACIONES DE LEGUMBRES U HORTALIZAS, DE FRUTOS, O DE LAS DEMAS PARTES DE PLANTAS,1268;;;;;
CAPITULO 2CARNE Y DESPOJOS COMESTIBLES,1197;;;;;
CAPITULO 12 SEMILLAS Y FRUTOS OLEAGINOSOS; SEMILLAS Y FRUTOS  DIVERSOS; PLANTAS INDUSTRIALES O MEDICINALES; PAJA Y FORRAJES,1196;;
CAPITULO 23  RESIDUOS Y DESPERDICIOS DE LAS INDUSTRIAS ALIMENTARIAS; ALIMENTOS PREPARADOS PARA ANIMALES,1194;;;;
CAPITULO 35  MATERIAS ALBUMINOIDEAS; PRODUCTOS A BASE DE ALMIDON O DE FECULA MODIFICADOS; COLAS; ENZIMAS,1145;;
"CAPITULO 25 SAL; AZUFRE; TIERRAS Y PIEDRAS; YESOS, CALES Y CEMENTOS,1057";;;;;
CAPITULO 8FRUTOS COMESTIBLES; CORTEZAS DE AGRIOS (CITRICOS)  O DE MELONES,993;;;;
CAPITULO 17  AZUCARES Y ARTICULOS DE CONFITERIA,940;;;;;
"CAPITULO 49  PRODUCTOS EDITORIALES, DE LA PRENSA O DE OTRAS  INDUSTRIAS GRAFICAS; TEXTOS MANUSCRITOS O  MECANOGRAFIADOS Y PLANOS.,857";;;;;
CAPITULO 60  GENEROS DE PUNTO,839;;;;;
CAPITULO 7 LEGUMBRES Y HORTALIZAS, PLANTAS, RAICES YTUBERCULOS ALIMENTICIOS.,815;;;;;
CAPITULO 29PRODUCTOS QUIMICOS ORGANICOS,742;;;;;
CAPITULO 91 APARATOS DE RELOJERIA Y SUS PARTES.,735;;;;;
CAPITULO 74  COBRE Y MANUFACTURAS DE COBRE.,716;;;;;
CAPITULO 24TABACOS Y SUCEDANEOS DEL TABACO ELABORADOS,624;;;;;
CAPITULO 18 CACAO Y SUS PREPARACIONES,619;;;;;
"CAPITULO 56 GUATA, FIELTRO Y TELAS SIN TEJER; HILADOS ESPECIALES; CORDELES, CUERDAS Y CORDAJES;ARTICULOS DE CORDELERIA.,599";;;;;
CAPITULO 65 TOCADOS Y SUS PARTES,562;;;;;
CAPITULO 52 ALGODON,541;;;;;
CAPITULO 54 FILAMENTOS SINTETICOS O ARTIFICIALES,508;;;;;
CAPITULO 15 GRASAS Y ACEITES ANIMALES O VEGETALES; PRODUCTOS DE SU DESDOBLAMIENTO; GRASAS ALIMENTICIASELABORADAS; CERAS DE ORIGEN ANIMAL O VEGETAL,419;;
CAPITULO 11PRODUCTOS DE LA MOLINERIA; MALTA; ALMIDON YFECULA; INULINA; GLUTEN DE TRIGO,394;
"CAPITULO 28 PRODUCTOS QUIMICOS INORGANICOS;COMPUESTOS  INORGANICOS U ORGANICOS DE METALES PRECIOSOS,DE ELEMENTOS RADIACTIVOS, DE METALES DE LAS  TIERRAS RARAS O DE ISOTOPOS,392";;;;;
"CAPITULO 59  TEJIDOS IMPREGNADOS, RECUBIERTOS, REVESTIDOS O  ESTRATIFICADOS; ARTICULOS TECNICOS DE MATERIASTEXTILES.,388";;;;;
"CAPITULO 71PERLAS NATURALES O CULTIVADAS, PIEDRAS PRECIOSAS,  SEMIPRECIOSAS O SIMILARES, METALES PRECIOSOS, CHAPADOS DE METALES PRECIOSOS Y MANUFACTURAS DEESTAS MATERIAS; BISUTERIA; MONEDAS.,360";;;;;
CAPITULO 57 ALFOMBRAS Y DEMAS REVESTIMIENTOS PARA EL SUELO,  DE MATERIAS TEXTILES.,313;;;;;
CAPIULO 58TEJIDOS ESPECIALES; SUPERFICIES TEXTILES CON PELOINSERTADO; ENCAJES; TAPICERIA; PASAMANERIA;BORDADOS.,287
CAPITULO 88AERONAVES, VEHICULOS ESPACIALES Y SUS PARTES,280;;;;;
CAPITULO 16PREPARACIONES DE CARNE, DE PESCADO O DE  CRUSTACEOS, DE MOLUSCOS O DE LOS DEMAS INVERTEBRADOS ACUATICOS,270;;;;;
"CAPITULO 67 PLUMAS Y PLUMON PREPARADOS Y ARTICULOS DE PLUMAS  O DE PLUMON; FLORES, ARTIFICIALES; MANUFACTURASDE CABELLO.,268";;;;;
CAPITULO 5 LOS DEMAS PRODUCTOS DE ORIGEN ANIMAL, NO EXPRESADOS NI COMPRENDIDOS EN OTRA PARTE.,264;;;;;
CAPITULO 6PLANTAS VIVAS Y PRODUCTOS DE LA FLORICULTURA,253;;;;;
CAPITULO 4  LECHE Y PRODUCTOS LACTEOS; HUEVOS DE AVE; MIEL  NATURAL; PRODUCTOS COMESTIBLES DE ORIGEN ANIMAL  NO EXPRESADOS NI COMPRENDIDOS EN OTRA PARTE.,237;;
CAPITULO 41PIELES (EXCEPTO LA PELETERIA) Y CUEROS,206;;;;;
CAPITULO 9  CAFE, TE, YERBA MATE Y ESPECIAS,159;;;;;
CAPITULO 1 ANIMALES VIVOS,157;;;;;
CAPITULO 55  FIBRAS SINTETICAS O ARTIFICIALES DISCONTINUAS.,156;;;;;
CAPITULO 13GOMAS, RESINAS Y DEMAS JUGOS Y EXTRACTOS  VEGETALES,140;;;;;
CAPITULO 36 POLVORAS Y EXPLOSIVOS; ARTICULOS DE PIROTECNIA;  FOSFOROS (CERILLAS); ALEACIONES PIROFORICAS;  MATERIAS INFLAMABLES.,135;
CAPITULO 79 CINC Y MANUFACTURAS DE CINC,133;;;;;
CAPITULO 37PRODUCTOS FOTOGRAFICOS O CINEMATOGRAFICOS,118;;;;;
"CAPITULO 86 VEHICULOS Y MATERIAL PARA VIAS FERREAS OSIMILARES Y SUS PARTES; APARATOS MECANICOS, (INCLUSO ELECTROMECANICOS) DE SE?ALIZACION PARA  VIAS DE COMUNICACION,96";;;;;
CAPITULO 66  PARAGUAS, SOMBRILLAS, QUITASOLES, BASTONES, BASTONES ASIENTO, LATIGOS, FUSTAS, Y SUS PARTES,91;;;;;
CAPITULO 92  INSTRUMENTOS DE MUSICA; PARTES Y ACCESORIOS DEESTOS INSTRUMENTOS,87;;;;
CAPITULO 89 BARCOS Y DEMAS ARTEFACTOS FLOTANTES,69;;;;;
CAPITULO 47  PASTA DE MADERA O DE OTRAS MATERIAS FIBROSAS CELULOSICAS ,DESPERDICIOS Y DESECHOS DE PAPEL ODE CARTON.,55;;;;;
CAPITULO 3  PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS  INVERTEBRADOS ACUATICOS.,45;;;;;
CAPITULO 93  ARMAS Y MUNICIONES; SUS PARTES Y ACCESORIOS,28;;;;
CAPITULO 46  MANUFACTURAS DE ESPARTERIA O DE CESTERIA,26;;;;;
